birth_date,card_id,enrollment_end_date,enrollment_start_date,first_name,gender,last_name
1954-01-20,ID00852908810,2020-01-28,2020-10-01,Bridget,F,Roach
1969-03-27,ID00879099305,2019-05-01,2018-11-01,John,M,Cochran
1969-03-27,ID00879099305,2020-07-28,2020-02-01,John,M,Cochran
1972-02-01,ID00882792902,2999-12-31,2020-01-01,Jermaine,M,Menke
1972-02-01,ID00882792902,2019-04-01,2018-10-01,Jermaine,M,Menke
1964-07-15,ID00906528356,2999-12-31,2020-09-01,Cheryl,F,Moreno
1980-11-26,ID00973973999,2999-12-31,2020-08-01,Clare,F,Bremmer
1975-10-26,ID00996498544,2020-02-28,2018-09-01,Erick,M,Tibbles
1970-08-13,ID01008340601,2020-07-28,2019-04-01,Terry,M,Moore
1956-02-04,ID01021949793,2999-12-31,2020-07-01,Sam,M,Martone
1979-10-16,ID01039534572,2018-06-01,2017-12-01,Ronnie,F,Pickens
1979-10-16,ID01039534572,2999-12-31,2019-03-01,Ronnie,F,Pickens
1959-06-07,ID01068270667,2999-12-31,2020-06-01,Wilma,F,Daniel
1959-06-07,ID01068270667,2019-09-01,2019-03-01,Wilma,F,Daniel
1974-06-04,ID01174710331,2018-01-01,2017-07-01,Angela,F,Robinson
1974-06-04,ID01174710331,2020-04-28,2018-10-01,Angela,F,Robinson
1962-06-01,ID01180597434,2999-12-31,2019-09-01,Edward,M,Hardee
1974-12-18,ID01222865188,2999-12-31,2020-09-01,Joshua,M,Cochran
1980-04-03,ID01249032864,2999-12-31,2020-01-01,Michelle,F,Stinser
1956-10-02,ID01334630508,2999-12-31,2019-10-01,Anthony,M,Marrs
1980-06-20,ID01345222791,2018-05-01,2017-11-01,Timothy,M,Rutledge
1980-06-20,ID01345222791,2999-12-31,2019-02-01,Timothy,M,Rutledge
1952-08-31,ID01350786486,2020-01-28,2018-04-01,Miranda,F,Bixby
1952-08-31,ID01350786486,2017-07-01,2017-01-01,Miranda,F,Bixby
1963-07-17,ID01432225617,2999-12-31,2019-01-01,Edward,M,Sardina
1961-08-01,ID01452200689,2020-03-28,2020-02-01,Rose,F,Raymond
1957-12-30,ID01453257136,2999-12-31,2019-05-01,Duane,M,Rivera
1970-07-15,ID01462255098,2020-06-28,2018-04-01,Tina,F,Robinson
1955-06-17,ID01488078766,2020-04-28,2020-03-01,Mary,F,French
1962-07-02,ID01602776353,2020-02-28,2018-05-01,Judith,F,Ravenell
1966-06-20,ID01618225535,2999-12-31,2018-01-01,Bianca,F,Clark
1989-01-12,ID01632409154,2020-07-28,2018-06-01,Virginia,F,Ramos
1989-01-12,ID01632409154,2017-09-01,2017-03-01,Virginia,F,Ramos
1970-08-30,ID01642349789,2999-12-31,2020-02-01,Flossie,F,Serrano
1964-12-16,ID01668821574,2999-12-31,2018-04-01,Janice,F,Wells
1979-09-03,ID01678038047,2018-07-01,2018-01-01,Billy,M,Hepler
1979-09-03,ID01678038047,2020-05-28,2019-04-01,Billy,M,Hepler
1956-12-28,ID01691959143,2999-12-31,2020-08-01,Michael,M,Mcintosh
1982-04-02,ID01726137503,2020-07-28,2020-03-01,Esther,F,White
1953-06-22,ID01731945237,2999-12-31,2019-02-01,Melanie,F,Petrovic
1953-04-30,ID01734193740,2999-12-31,2020-07-01,James,M,Silva
1965-07-29,ID01758714531,2999-12-31,2020-05-01,Judy,F,Price
1960-01-23,ID01775460664,2999-12-31,2018-05-01,Linda,F,Wright
1975-10-23,ID01798242596,2020-02-28,2019-06-01,Deidre,F,Runnels
1968-10-20,ID01804030948,2999-12-31,2019-07-01,Stacey,F,Kendrick
1960-04-22,ID01821596008,2019-04-01,2018-10-01,Holly,F,Templeton
1960-04-22,ID01821596008,2999-12-31,2020-01-01,Holly,F,Templeton
1959-06-19,ID01835182040,2999-12-31,2020-05-01,Jason,M,Edwards
1967-05-24,ID01908333631,2020-07-28,2019-09-01,Alan,M,Donaldson
1959-06-26,ID01940059712,2020-05-28,2018-03-01,Linda,F,Carroll
1965-11-11,ID01946038881,2999-12-31,2018-07-01,Jessica,F,Pryor
1960-02-20,ID01966142534,2999-12-31,2018-10-01,Pansy,F,Terrell
1964-10-12,ID02017502569,2019-04-01,2018-10-01,Colleen,F,Lechner
1964-10-12,ID02017502569,2999-12-31,2020-01-01,Colleen,F,Lechner
1975-11-21,ID02078122490,2019-09-01,2019-03-01,Joann,F,Wilcox
1975-11-21,ID02078122490,2020-01-28,2020-06-01,Joann,F,Wilcox
1958-11-06,ID02095100262,2999-12-31,2020-03-01,Mackenzie,F,Polo
1958-11-06,ID02095100262,2019-06-01,2018-12-01,Mackenzie,F,Polo
1950-11-21,ID02157257227,2017-08-01,2017-02-01,Russell,M,Tyson
1950-11-21,ID02157257227,2020-01-28,2018-05-01,Russell,M,Tyson
1968-04-28,ID02175674660,2999-12-31,2020-09-01,Larry,M,Albers
1962-08-17,ID02191001026,2999-12-31,2020-02-01,Katelyn,F,Holley
1994-07-25,ID02275058826,2020-01-28,2018-01-01,Cassandra,F,Wachtel
1973-12-12,ID02282388476,2020-05-28,2018-05-01,Tina,F,Stanton
1976-11-09,ID02297532714,2020-06-28,2020-08-01,Michael,M,Carpenter
1963-11-30,ID02336032552,2999-12-31,2019-09-01,Alma,F,Garris
1986-07-25,ID02338033210,2020-01-28,2020-01-01,Jordan,M,Cyr
1964-04-02,ID02367799357,2999-12-31,2018-04-01,Debra,F,Rice
1964-04-02,ID02367799357,2017-07-01,2017-01-01,Debra,F,Rice
1977-04-16,ID02383211725,2020-03-28,2020-07-01,Karen,F,Mckee
1977-04-16,ID02383211725,2019-10-01,2019-04-01,Karen,F,Mckee
1979-12-20,ID02413016325,2017-04-01,2016-10-01,Natasha,F,Byrd
1979-12-20,ID02413016325,2999-12-31,2018-01-01,Natasha,F,Byrd
1979-11-09,ID02422991518,2020-01-28,2020-06-01,Helen,F,Ferguson
1978-08-19,ID02449677857,2999-12-31,2018-05-01,Susan,F,Ball
1972-05-04,ID02607909442,2020-01-28,2019-05-01,Stephen,M,Harris
1972-05-04,ID02607909442,2018-08-01,2018-02-01,Stephen,M,Harris
1976-03-03,ID02683631161,2999-12-31,2020-03-01,James,M,Capaldi
1958-05-21,ID02693182337,2020-03-28,2018-04-01,Enid,F,Perez
1977-09-06,ID02712502607,2999-12-31,2020-09-01,Daisy,F,Evans
1969-12-30,ID02735082102,2020-01-28,2018-08-01,Emma,F,Romero
1984-12-10,ID02760806243,2020-06-28,2019-07-01,Tracy,F,Aho
1979-02-09,ID02777394618,2020-07-28,2018-06-01,Billie,F,Daley
1979-06-19,ID02807826856,2999-12-31,2020-06-01,Glen,M,Brenner
1977-11-28,ID02824569263,2020-07-28,2018-01-01,Margaret,F,Dirks
1956-09-06,ID02832922697,2999-12-31,2018-02-01,Kara,F,Sims
1971-11-04,ID02883675006,2999-12-31,2020-01-01,Margaret,F,Huddleston
1961-06-18,ID02893299871,2999-12-31,2019-01-01,Jacob,M,Carlson
1980-02-04,ID02991101763,2020-01-28,2018-05-01,Larry,M,Berka
1971-06-24,ID03029160406,2020-04-28,2020-09-01,Laura,F,Conlon
1953-05-15,ID03033309788,2020-05-28,2019-08-01,Jeffrey,M,Broussard
1959-05-21,ID03073482476,2020-06-28,2019-07-01,Joey,M,Deponte
1965-08-02,ID03106246628,2019-11-01,2019-05-01,Jeannette,F,Oakes
1965-08-02,ID03106246628,2020-02-28,2020-08-01,Jeannette,F,Oakes
1981-06-17,ID03130455799,2999-12-31,2020-06-01,Helen,F,Carter
1981-06-17,ID03130455799,2019-09-01,2019-03-01,Helen,F,Carter
1968-12-08,ID03144267595,2020-04-28,2020-05-01,Dianne,F,Hernandez
1995-06-20,ID03160677650,2999-12-31,2020-08-01,Hope,F,Blackburn
1979-01-28,ID03202957966,2020-03-28,2018-05-01,Scott,M,Houghton
1962-11-21,ID03230375613,2999-12-31,2019-10-01,Jackqueline,F,Howard
1956-11-08,ID03265731997,2019-12-01,2019-06-01,Caroline,F,Young
1956-11-08,ID03265731997,2020-01-28,2020-09-01,Caroline,F,Young
1965-05-15,ID03273238076,2999-12-31,2019-05-01,Emil,M,Smith
1964-02-20,ID03298110337,2019-07-01,2019-01-01,Judith,F,Flores
1964-02-20,ID03298110337,2020-01-28,2020-04-01,Judith,F,Flores
1967-01-17,ID03314257486,2020-07-28,2018-08-01,Danna,F,White
1960-11-05,ID03319843095,2020-03-28,2018-08-01,Adalberto,M,Borrell
1962-08-30,ID03340788300,2999-12-31,2019-02-01,Sylvia,F,Merwin
1966-12-23,ID03343244038,2020-04-28,2018-10-01,Christopher,M,Godin
1961-05-23,ID03353630627,2020-02-28,2018-01-01,Laurie,F,Bowen
1961-05-23,ID03353630627,2017-04-01,2016-10-01,Laurie,F,Bowen
1970-09-17,ID03381258486,2020-05-28,2018-03-01,Shani,F,Mcdonald
1970-09-17,ID03381258486,2017-06-01,2016-12-01,Shani,F,Mcdonald
1957-11-06,ID03415999346,2020-07-28,2019-01-01,Ruth,F,Trahan
1952-07-30,ID03443315667,2020-05-28,2020-10-01,Juan,M,Matson
1952-07-30,ID03443315667,2020-01-01,2019-07-01,Juan,M,Matson
1977-06-25,ID03478279997,2999-12-31,2020-10-01,Nellie,F,Holt
1969-05-05,ID03513209426,2020-06-28,2019-04-01,Richard,M,Richardson
1969-05-05,ID03513209426,2018-07-01,2018-01-01,Richard,M,Richardson
1963-11-21,ID03531520797,2999-12-31,2019-10-01,Laura,F,Mills
1992-11-24,ID03533444465,2999-12-31,2019-06-01,Elsa,F,Clark
1983-12-29,ID03564634679,2020-05-28,2019-09-01,Imelda,F,Horan
1960-05-08,ID03583940166,2020-05-28,2020-03-01,Colin,M,Burge
1966-06-18,ID03605176202,2020-04-28,2018-06-01,Casandra,F,White
1963-06-30,ID03618841699,2020-01-28,2019-06-01,Blanca,F,Green
1965-10-23,ID03631686670,2999-12-31,2020-01-01,Robin,F,Duty
1962-09-25,ID03635308396,2020-01-28,2019-07-01,Phoebe,F,Walker
1961-05-28,ID03654424753,2018-06-01,2017-12-01,Mario,M,Preyer
1961-05-28,ID03654424753,2999-12-31,2019-03-01,Mario,M,Preyer
1959-05-25,ID03681684055,2999-12-31,2020-01-01,Wm,M,Scarnati
1955-09-29,ID03717667442,2019-10-01,2019-04-01,Ethel,F,Blair
1955-09-29,ID03717667442,2999-12-31,2020-07-01,Ethel,F,Blair
1972-02-28,ID03765442075,2999-12-31,2020-09-01,Randall,M,Coomer
1954-01-28,ID03802197879,2999-12-31,2020-08-01,Steven,M,Almaraz
1963-07-27,ID03805832184,2999-12-31,2019-03-01,Leon,M,Wing
1963-07-27,ID03805832184,2018-06-01,2017-12-01,Leon,M,Wing
1953-05-30,ID03808655071,2999-12-31,2020-03-01,Emma,F,Kellett
1956-03-31,ID03819064085,2020-05-28,2018-01-01,Stephen,M,Walters
1959-10-23,ID03820682038,2999-12-31,2020-06-01,Linda,F,Vigil
1965-04-15,ID03839251916,2999-12-31,2019-10-01,Eli,M,Buckner
1963-11-28,ID03848464368,2020-06-28,2019-05-01,Flossie,F,Maupin
1963-11-28,ID03848464368,2018-08-01,2018-02-01,Flossie,F,Maupin
1967-01-12,ID03872100559,2999-12-31,2019-04-01,Fred,M,Rhein
1977-07-18,ID03872164429,2020-05-28,2020-02-01,Iona,F,Head
1964-01-10,ID03933820780,2020-05-28,2018-06-01,Christine,F,Messenger
1967-11-15,ID03969317966,2020-05-28,2020-03-01,Colin,M,Locks
1968-10-02,ID03995527836,2999-12-31,2019-09-01,Gloria,F,Jackson
1964-05-30,ID04005417342,2999-12-31,2020-03-01,Trudy,F,Johnson
1950-01-21,ID04010299225,2999-12-31,2020-09-01,Sarah,F,Beal
1970-06-14,ID04031256645,2017-08-01,2017-02-01,Marcus,M,Mcintyre
1970-06-14,ID04031256645,2020-02-28,2018-05-01,Marcus,M,Mcintyre
1964-08-23,ID04043511474,2999-12-31,2020-04-01,Donnie,M,Broussard
1964-08-23,ID04043511474,2019-07-01,2019-01-01,Donnie,M,Broussard
1962-07-20,ID04045111487,2020-05-28,2020-01-01,Sharon,F,Montoya
1959-10-31,ID04047630955,2999-12-31,2018-09-01,Vida,F,Amaro
1972-04-14,ID04052378885,2999-12-31,2018-09-01,Donnie,M,Cowan
1972-04-14,ID04052378885,2017-12-01,2017-06-01,Donnie,M,Cowan
1977-02-15,ID04158120692,2019-09-01,2019-03-01,Mary,F,Krause
1977-02-15,ID04158120692,2020-02-28,2020-06-01,Mary,F,Krause
1959-12-19,ID04165140154,2019-07-01,2019-01-01,Lewis,F,Palma
1959-12-19,ID04165140154,2020-03-28,2020-04-01,Lewis,F,Palma
1983-07-14,ID04185315493,2020-02-28,2019-09-01,William,M,Davis
1988-05-09,ID04228005108,2020-01-28,2019-04-01,Randall,M,Blanks
1988-05-09,ID04228005108,2018-07-01,2018-01-01,Randall,M,Blanks
1966-05-10,ID04259749630,2999-12-31,2019-04-01,Denice,F,Robin
1966-05-10,ID04259749630,2018-07-01,2018-01-01,Denice,F,Robin
1965-02-19,ID04266797199,2999-12-31,2020-02-01,Hazel,F,Day
1965-02-19,ID04266797199,2019-05-01,2018-11-01,Hazel,F,Day
1978-01-05,ID04269184346,2019-10-01,2019-04-01,Colin,M,Nuss
1978-01-05,ID04269184346,2999-12-31,2020-07-01,Colin,M,Nuss
1978-08-31,ID04283583067,2019-12-01,2019-06-01,Jessie,F,Johnson
1978-08-31,ID04283583067,2999-12-31,2020-09-01,Jessie,F,Johnson
1976-02-26,ID04284330989,2020-04-28,2019-07-01,Carlos,M,Ramage
1963-02-26,ID04353765057,2020-04-28,2018-01-01,Josephine,F,Morgan
1972-05-02,ID04366299066,2999-12-31,2018-03-01,Jacqueline,F,Macdonald
1972-05-02,ID04366299066,2017-06-01,2016-12-01,Jacqueline,F,Macdonald
1962-06-22,ID04414072647,2999-12-31,2020-05-01,Bethany,F,Long
1972-03-21,ID04459437738,2999-12-31,2019-07-01,Marguerite,F,Hamilton
1972-03-21,ID04459437738,2018-10-01,2018-04-01,Marguerite,F,Hamilton
1999-09-25,ID04562652770,2018-08-01,2018-02-01,Melisa,F,Williams
1999-09-25,ID04562652770,2020-06-28,2019-05-01,Melisa,F,Williams
1978-04-19,ID04576177140,2999-12-31,2018-02-01,Cindy,F,Mares
1954-09-22,ID04672705175,2020-03-28,2018-08-01,Kristina,F,Culp
1954-09-22,ID04672705175,2017-11-01,2017-05-01,Kristina,F,Culp
1987-11-11,ID04676409567,2999-12-31,2020-10-01,Dorothy,F,Johnson
1987-11-11,ID04676409567,2020-01-01,2019-07-01,Dorothy,F,Johnson
1979-08-01,ID04709318386,2999-12-31,2019-08-01,Danny,M,Stein
1959-06-29,ID04736560833,2020-01-28,2020-02-01,Stephen,M,Gilliam
1950-12-22,ID04761655603,2018-09-01,2018-03-01,Dorothy,F,Gilbert
1950-12-22,ID04761655603,2020-03-28,2019-06-01,Dorothy,F,Gilbert
1961-02-21,ID04779673921,2999-12-31,2020-01-01,Kelly,F,Linton
1959-12-31,ID04785568730,2999-12-31,2019-05-01,Craig,M,Blake
1983-08-16,ID04787550979,2999-12-31,2019-05-01,Mary,F,Violette
1962-11-20,ID04800531020,2999-12-31,2019-08-01,Donna,F,Andrews
1963-06-29,ID04818495482,2999-12-31,2020-03-01,Lenora,F,Hooker
1963-01-09,ID04875393518,2999-12-31,2018-06-01,Marilyn,F,Hickman
1976-05-04,ID04885786915,2020-04-28,2019-05-01,Jacqueline,F,Tsuji
1965-09-01,ID04950888612,2018-05-01,2017-11-01,Maryann,F,Massiah
1965-09-01,ID04950888612,2020-04-28,2019-02-01,Maryann,F,Massiah
1972-02-29,ID04959077171,2999-12-31,2019-10-01,Dorothy,F,Navarra
1955-10-07,ID04993960378,2020-06-28,2020-08-01,Megan,F,Enstad
1960-12-01,ID05025010790,2020-04-28,2018-05-01,Grace,F,Juarez
1971-03-09,ID05048057548,2020-07-28,2018-08-01,Robin,F,Nasers
1963-07-12,ID05084332771,2020-06-28,2018-01-01,Etta,F,Day
1946-08-24,ID05095904569,2999-12-31,2018-06-01,Carlton,M,Morris
1962-04-05,ID05119199086,2020-06-28,2019-10-01,Nathaniel,M,Walling
1953-09-04,ID05169783538,2999-12-31,2020-08-01,William,M,Cameron
1953-09-04,ID05169783538,2019-11-01,2019-05-01,William,M,Cameron
1965-11-26,ID05174720332,2999-12-31,2018-08-01,Janice,F,Thomas
1960-05-19,ID05184311058,2999-12-31,2018-05-01,Dolly,F,Randolph
1971-03-24,ID05188120965,2999-12-31,2018-07-01,Donald,M,Davis
1970-01-31,ID05193712008,2020-06-28,2019-08-01,Laura,F,Rainey
1969-10-15,ID05196821079,2999-12-31,2020-06-01,Elizabeth,F,Leitch
1957-07-28,ID05214938558,2020-02-28,2018-09-01,Linsey,F,Skelton
1957-07-28,ID05214938558,2017-12-01,2017-06-01,Linsey,F,Skelton
1975-01-21,ID05256353352,2999-12-31,2019-10-01,Sarah,F,Arellano
1972-10-03,ID05277799075,2999-12-31,2018-02-01,Kelly,F,Oge
1972-10-03,ID05277799075,2017-05-01,2016-11-01,Kelly,F,Oge
1973-04-28,ID05279821686,2019-06-01,2018-12-01,Miguel,M,Johnson
1973-04-28,ID05279821686,2999-12-31,2020-03-01,Miguel,M,Johnson
1965-07-25,ID05366206417,2020-07-28,2019-02-01,Susan,F,Hayes
1962-05-06,ID05375295461,2999-12-31,2019-05-01,Erin,F,Rife
1963-02-23,ID05400733711,2020-07-28,2018-07-01,Alice,F,Williams
1962-04-12,ID05401228070,2020-05-28,2020-09-01,Susan,F,Hand
1969-04-27,ID05416616151,2017-12-01,2017-06-01,Craig,M,Reinmann
1969-04-27,ID05416616151,2020-06-28,2018-09-01,Craig,M,Reinmann
1973-09-12,ID05440569249,2020-05-28,2020-10-01,Vernon,M,Freedman
1973-09-12,ID05440569249,2020-01-01,2019-07-01,Vernon,M,Freedman
1957-02-21,ID05564523587,2999-12-31,2019-06-01,Geraldine,F,Munn
1985-03-14,ID05669412272,2999-12-31,2020-08-01,Marc,M,Foster
1960-03-27,ID05674355478,2017-10-01,2017-04-01,Gertrude,F,Sauter
1960-03-27,ID05674355478,2999-12-31,2018-07-01,Gertrude,F,Sauter
1979-10-02,ID05693387631,2999-12-31,2020-04-01,Loretta,F,Garland
1966-12-28,ID05702905309,2020-07-28,2018-03-01,James,M,Jarvis
1958-01-31,ID05715539480,2999-12-31,2020-07-01,Cassidy,F,Smith
1975-11-04,ID05716943291,2999-12-31,2019-01-01,Alicia,F,Lowery
1958-04-17,ID05722205150,2020-07-28,2019-05-01,Evelyn,F,Hall
1968-11-20,ID05728651075,2999-12-31,2019-05-01,Jaime,F,Barnes
1978-07-08,ID05750874089,2020-02-28,2020-02-01,Barry,M,Halcomb
1978-07-08,ID05750874089,2019-05-01,2018-11-01,Barry,M,Halcomb
1962-11-22,ID05752881583,2020-05-28,2018-10-01,James,M,Williams
1953-03-25,ID05753394994,2020-07-28,2020-04-01,David,M,Roach
1953-03-25,ID05753394994,2019-07-01,2019-01-01,David,M,Roach
1968-06-25,ID05764827769,2999-12-31,2020-09-01,Danielle,F,Rich
1968-06-25,ID05764827769,2019-12-01,2019-06-01,Danielle,F,Rich
1980-09-30,ID05789644694,2020-06-28,2018-02-01,Socorro,F,Gomez
1980-09-30,ID05789644694,2017-05-01,2016-11-01,Socorro,F,Gomez
1970-02-22,ID05867124195,2020-06-28,2020-10-01,Sheila,F,Wells
1973-09-19,ID05910180057,2999-12-31,2020-06-01,Jonathan,M,Campbell
1968-11-29,ID05917718026,2999-12-31,2018-05-01,Marlene,F,Jones
1960-02-12,ID05943408002,2020-05-28,2018-03-01,Andre,M,Bruns
1970-02-26,ID05984547299,2019-09-01,2019-03-01,Christopher,M,Crowder
1970-02-26,ID05984547299,2999-12-31,2020-06-01,Christopher,M,Crowder
1966-06-15,ID05994861372,2999-12-31,2019-06-01,Rachel,F,Jacobs
1958-03-18,ID06055791993,2020-04-28,2019-10-01,Marvin,M,Guzman
1958-03-18,ID06055791993,2019-01-01,2018-07-01,Marvin,M,Guzman
1963-11-13,ID06119603057,2020-03-28,2018-03-01,Bobby,M,Valdez
1966-08-18,ID06151147007,2999-12-31,2020-03-01,David,M,Pichler
1958-07-27,ID06152505453,2999-12-31,2020-05-01,Jae,M,Painter
1962-04-21,ID06171569019,2020-06-28,2020-09-01,Tanisha,F,Pearson
1956-11-08,ID06201829001,2999-12-31,2020-05-01,Kelley,F,Whyms
1959-12-21,ID06216484300,2020-04-28,2020-06-01,Leonor,F,Dill
1976-08-08,ID06260836408,2020-03-28,2018-08-01,Roma,F,Vasquez
1959-10-18,ID06318617699,2020-03-28,2019-09-01,Jack,M,Hedgepeth
1967-07-27,ID06326898673,2019-11-01,2019-05-01,Bradley,M,Lee
1967-07-27,ID06326898673,2999-12-31,2020-08-01,Bradley,M,Lee
1960-01-30,ID06343917039,2020-07-28,2019-03-01,Vera,F,Rawlings
1960-01-30,ID06343917039,2018-06-01,2017-12-01,Vera,F,Rawlings
1949-04-19,ID06361731358,2999-12-31,2018-09-01,Betty,F,Tyler
1949-04-19,ID06361731358,2017-12-01,2017-06-01,Betty,F,Tyler
1955-11-03,ID06392174712,2999-12-31,2020-01-01,Willene,F,Wilkins
1952-06-08,ID06413966996,2999-12-31,2018-05-01,Kimberly,F,Buskirk
1965-05-06,ID06416700896,2020-02-28,2019-06-01,James,M,Ormsby
1963-01-17,ID06460006249,2999-12-31,2019-02-01,John,M,Pavlovic
1956-03-30,ID06519800540,2999-12-31,2018-05-01,Christopher,M,Witkowski
1956-03-30,ID06519800540,2017-08-01,2017-02-01,Christopher,M,Witkowski
1959-06-04,ID06619942183,2019-06-01,2018-12-01,Herman,M,Hawker
1959-06-04,ID06619942183,2020-05-28,2020-03-01,Herman,M,Hawker
1980-06-08,ID06638333905,2020-04-28,2019-06-01,Danny,M,Leiva
1979-03-29,ID06654289826,2018-05-01,2017-11-01,Becky,F,Copper
1979-03-29,ID06654289826,2999-12-31,2019-02-01,Becky,F,Copper
1955-04-14,ID06766170680,2020-04-28,2018-05-01,April,F,Mcclure
1969-07-07,ID06779148590,2999-12-31,2018-05-01,Jannette,F,Whitmire
1966-09-03,ID06779331293,2020-02-28,2018-07-01,Irene,F,Johnson
1963-09-05,ID06833483429,2020-01-28,2018-03-01,Margaret,F,Ortiz
1963-09-05,ID06833483429,2017-06-01,2016-12-01,Margaret,F,Ortiz
1966-06-11,ID06906201121,2999-12-31,2020-05-01,Ruth,F,Graves
1966-06-11,ID06906201121,2019-08-01,2019-02-01,Ruth,F,Graves
1963-11-09,ID06922623214,2999-12-31,2019-08-01,Robert,M,Sikes
1962-06-13,ID06956956469,2999-12-31,2018-06-01,Ginger,F,Robinson
1950-10-07,ID06995817290,2999-12-31,2020-03-01,Edwin,M,Hawkins
1980-01-29,ID07018205959,2018-07-01,2018-01-01,Roxie,F,Ochoa
1980-01-29,ID07018205959,2020-01-28,2019-04-01,Roxie,F,Ochoa
1961-08-13,ID07033332993,2020-02-28,2019-10-01,April,F,Mccormick
1967-04-27,ID07079196267,2999-12-31,2018-10-01,Cristina,F,Duffy
1967-04-27,ID07079196267,2018-01-01,2017-07-01,Cristina,F,Duffy
1976-06-08,ID07088076098,2017-08-01,2017-02-01,David,M,Jones
1976-06-08,ID07088076098,2020-06-28,2018-05-01,David,M,Jones
1978-01-27,ID07184622048,2999-12-31,2020-04-01,Sheila,F,Greene
1951-08-06,ID07192174842,2019-10-01,2019-04-01,Marie,F,Cooney
1951-08-06,ID07192174842,2999-12-31,2020-07-01,Marie,F,Cooney
1957-03-11,ID07261474452,2999-12-31,2019-04-01,Crystal,F,Sojka
1966-09-27,ID07286382142,2999-12-31,2020-04-01,James,M,Bakley
1957-02-27,ID07298400039,2018-12-01,2018-06-01,Emily,F,Henderson
1957-02-27,ID07298400039,2020-05-28,2019-09-01,Emily,F,Henderson
1959-01-07,ID07309423069,2020-07-28,2018-08-01,John,M,Boyle
1959-02-05,ID07328595001,2999-12-31,2020-10-01,Martha,F,White
1960-02-24,ID07354864514,2999-12-31,2019-07-01,Patricia,F,Schilling
1978-03-23,ID07369563476,2020-05-28,2019-08-01,Patricia,F,Williams
1959-09-09,ID07397563156,2020-02-28,2019-08-01,Dwayne,M,Bonds
1968-06-03,ID07412730866,2020-06-28,2018-09-01,Alice,F,Knutson
1953-08-11,ID07422294705,2020-01-28,2018-05-01,June,F,Lester
1986-01-05,ID07477728042,2020-07-28,2020-04-01,Kelly,F,Dorko
1952-02-05,ID07541102102,2999-12-31,2018-05-01,Stephanie,F,Hodges
1952-12-12,ID07568029416,2020-05-28,2018-06-01,Mary,F,Mcclanahan
1952-12-12,ID07568029416,2017-09-01,2017-03-01,Mary,F,Mcclanahan
1949-03-09,ID07593032275,2018-08-01,2018-02-01,Serina,F,Fisher
1949-03-09,ID07593032275,2020-02-28,2019-05-01,Serina,F,Fisher
1968-12-01,ID07615022650,2999-12-31,2020-07-01,Daphne,F,Kittelson
1958-09-07,ID07623698216,2020-02-28,2020-06-01,Dan,M,Stansell
1950-10-16,ID07692964664,2020-02-28,2020-05-01,Pauline,F,Monk
1973-05-02,ID07723141401,2999-12-31,2018-04-01,Ronald,M,Guillen
1961-04-18,ID07753219504,2020-04-28,2018-02-01,Frances,F,Withers
1965-02-04,ID07757032308,2017-10-01,2017-04-01,Jason,M,Fuller
1965-02-04,ID07757032308,2999-12-31,2018-07-01,Jason,M,Fuller
1957-03-18,ID07761712992,2017-06-01,2016-12-01,Betty,F,Gibson
